| Start Node | End Node | Attack | Vulnerability Type | Vulnerability Name |
|------------|----------|--------|--------------------|--------------------|
| 47 | 42 | Inject | New Vulnerability | Access Trap via Access Barring Factor |
| 2055 | 1715 | Inject | New Vulnerability | Rogue Base Station RRC RESUME Blackhole |
| 2055 | 1715 | Drop | New Vulnerability | Rogue Base Station RRC RESUME Blackhole |
| 32 | 64 | Drop | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 32 | 64 | Modify | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 126 | 124 | Drop | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 126 | 124 | Modify | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 127 | 124 | Inject | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 127 | 124 | Modify | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 128 | 124 | Inject | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 129 | 124 | Inject | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 129 | 124 | Drop | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 129 | 124 | Modify | Known Vulnerability | Denial-of-Service with RRCSetupRequest |
| 239 | 245 | Modify | Known Vulnerability | Installing Null Cipher and Null Integrity |
| 248 | 245 | Modify | Known Vulnerability | Installing Null Cipher and Null Integrity |
| 231 | 225 | Inject | Known Vulnerability | Installing Null Cipher and Null Integrity |
| 257 | 255 | Inject | Known Vulnerability | Installing Null Cipher and Null Integrity |
| 13 | 47 | Inject | Known Vulnerability | Lullaby Attack |
| 13 | 47 | Modify | Known Vulnerability | Lullaby Attack |
| 13 | 47 | Replay | Known Vulnerability | Lullaby Attack |
| 13 | 64 | Inject | Known Vulnerability | Lullaby Attack |
| 13 | 64 | Drop | Known Vulnerability | Lullaby Attack |
| 13 | 64 | Modify | Known Vulnerability | Lullaby Attack |
| 13 | 64 | Replay | Known Vulnerability | Lullaby Attack |
| 27 | 24 | Modify | Known Vulnerability | Lullaby Attack |
| 27 | 47 | Modify | Known Vulnerability | Lullaby Attack |
| 32 | 29 | Inject | Known Vulnerability | Lullaby Attack |
| 32 | 29 | Modify | Known Vulnerability | Lullaby Attack |
| 32 | 29 | Replay | Known Vulnerability | Lullaby Attack |
| 32 | 34 | Inject | Known Vulnerability | Lullaby Attack |
| 32 | 34 | Replay | Known Vulnerability | Lullaby Attack |
| 32 | 38 | Inject | Known Vulnerability | Lullaby Attack |
| 32 | 38 | Modify | Known Vulnerability | Lullaby Attack |
| 32 | 47 | Inject | Known Vulnerability | Lullaby Attack |
| 32 | 47 | Modify | Known Vulnerability | Lullaby Attack |
| 32 | 47 | Replay | Known Vulnerability | Lullaby Attack |
| 32 | 64 | Inject | Known Vulnerability | Lullaby Attack |
| 32 | 64 | Drop | Known Vulnerability | Lullaby Attack |
| 32 | 64 | Modify | Known Vulnerability | Lullaby Attack |
| 32 | 64 | Replay | Known Vulnerability | Lullaby Attack |
| 32 | 66 | Inject | Known Vulnerability | Lullaby Attack |
| 32 | 66 | Drop | Known Vulnerability | Lullaby Attack |
| 32 | 66 | Modify | Known Vulnerability | Lullaby Attack |
| 32 | 66 | Replay | Known Vulnerability | Lullaby Attack |
| 33 | 64 | Replay | Known Vulnerability | Lullaby Attack |
| 33 | 66 | Inject | Known Vulnerability | Lullaby Attack |
| 33 | 66 | Drop | Known Vulnerability | Lullaby Attack |
| 33 | 66 | Modify | Known Vulnerability | Lullaby Attack |
| 33 | 66 | Replay | Known Vulnerability | Lullaby Attack |
| 34 | 47 | Inject | Known Vulnerability | Lullaby Attack |
| 34 | 47 | Drop | Known Vulnerability | Lullaby Attack |
| 34 | 47 | Modify | Known Vulnerability | Lullaby Attack |
